Receipt #,Physical Business Location,Account #,Owner Address Name,Business Name,Business Address,Category Code,Category Name,Mailing Address Name,Mailing Address Line 1,Mailing Address Line 2,Mailing Address City,Mailing Address State,Mailing Address ZIP,Number of Units,Account Status,Balance Status,Date Paid In Full,Exemption Code,Exemption Description,Business Phone,RE Account Number,Tangible Account Number,Custom Flags,Receipt Application Date,Year,Class Code,Class Name
7262009,30 - UNIN DADE COUNTY,6986450,1 2 GREEN LANDSCAPE LLC,1 2 GREEN LANDSCAPE LLC,"OPERATING IN DADE COUNTY MIAMI, FL 33999 ",SER-LAW,SERVICE BUSINESS,1 2 GREEN LANDSCAPE LLC PERSSY JUDKA MGRM,2245 SW 16 TERR,,MIAMI,FL,33145,1,Active,Unpaid,,-- None --,-- None --,786-000-0000,,,Mobile Business,5/10/2012,2014,213,Service business/multiple service business or Passenger transportation services
5229349,88 - COMMERCIAL LESSORS,5008024,1 3 2 PLAZA BUILDING LLC,1 3 2 PLAZA BUILDING LLC,"MUNICIPALITIES LOC COMMERCIAL LESSORS, FL 33888 ",LES,COMMERCL/INDUST/OFFICE SPACE,1 3 2 PLAZA BUILDING LLC KENNETH FLEISHER  MANAGER,5944 CORAL RIDGE DR  #145,,CORAL SPRINGS,FL,33076,12047,Active,Paid In Full,7/8/2013,-- None --,-- None --,954-341-8730,20-5015-000-0511,,-- None --,2/18/2003,2014,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
5798732,88 - COMMERCIAL LESSORS,5558524,1 4 7 REALTY CORP,1 4 7 REALTY CORP,"MUNICIPALITIES LOC COMMERCIAL LESSORS, FL 33888 ",LES,COMMERCL/INDUST/OFFICE SPACE,1 4 7 REALTY CORP JEFFREY COHEN,880 LAKEVIEW DR,,MIAMI BEACH,FL,33140,7365,Active,Paid In Full,8/7/2013,-- None --,-- None --,305-000-0000,01-3125-057-0120,,-- None --,5/13/2005,2014,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
6972351,34 - MIAMI GARDENS,6699236,1 800 411 PAIN REFERRAL SERVICE,1 800 411 PAIN REFERRAL SERVICE LLC,"17325 NW 27 AVE 107 MIAMI GARDENS, FL 33056 ",SER-INF,SERVICE BUSINESS,1 800 411 PAIN REFERRAL SERVICE ROBERT LEWIN MGR,12441 N STONEBROOK CIR,,DAVIE,FL,33330,10,Active,Paid In Full,7/9/2013,-- None --,-- None --,305-623-5939,34-2110-011-1390,,-- None --,10/6/2010,2014,213,Service business/multiple service business or Passenger transportation services
6077598,30 - UNIN DADE COUNTY,5828984,A GUTZ VENTURE CORP,1 800 GOT JUNK ?,"12510 SW 117 CT MIAMI, FL 33176 ",SER-CLM,SERVICE BUSINESS,A GUTZ VENTURE CORP ALBERT GUITERREZ  PRES,10773 NW 58 ST  #162,,DORAL,FL,33178,1,Active,Paid In Full,7/18/2013,-- None --,-- None --,786-258-5492,30-5913-002-0050,,-- None --,7/3/2006,2014,213,Service business/multiple service business or Passenger transportation services
7100373,30 - UNIN DADE COUNTY,6826763,1 800 LOCK KEY & SAFE INC,1 800 LOCK KEY & SAFE INC,"DOING BUS IN DADE CO MIAMI, FL 33000 ",LOC,LOCKSMITH SERVICE,1 800 LOCK KEY & SAFE INC OFER MASHAL PRES,801 CYPRESS LN,,HALLANDALE,FL,33009,1,Active,Paid In Full,8/8/2013,-- None --,-- None --,305-788-0629,,,Mobile Business,6/7/2011,2014,213,Service business/multiple service business or Passenger transportation services
7071780,27 - HIALEAH GARDENS,6798111,RADIATOR EXPRESS WAREHOUSE INC,1 800 RADIATOR & A/C,"9800 NW 78 AVE HIALEAH GARDENS, FL 33016 ",DLR-WHO,TANGIBLE PERSONAL PROP DLR,RADIATOR EXPRESS WAREHOUSE INC JOSEPH RIPPEY,4401 PARK RD,,BENICIA,CA,94510,12,Active,Unpaid,,-- None --,-- None --,786-845-0701,27-3003-008-0010,,-- None --,4/14/2011,2014,220,Dealer in tangible personal property
4445193,35 - DORAL,5480694,1 866 JUNK BE GONE CORP / MIAMI,1 866 JUNK BE GONE CORP / MIAMI,"7925 NW 12 ST 130 DORAL, FL 33126 ",SER-GAR,SERVICE BUSINESS,1 866 JUNK BE GONE CORP / MIAMI JORGE L BUSTAMANTE PRES,7925 NW 12 ST 130,,DORAL,FL,33126,2,Active,Paid In Full,10/30/2013,-- None --,-- None --,305-634-2749,35-3034-001-0020,,Enforcement,3/27/2000,2014,213,Service business/multiple service business or Passenger transportation services
7368426,30 - UNIN DADE COUNTY,7090533,1 A MAGIC CITY PRODUCTIONS INC,1 A MAGIC CITY PRODUCTIONS INC,"11851 SW 147 AVE MIAMI, FL 33196 ",SER-REN,SERVICE BUSINESS,1 A MAGIC CITY PRODUCTIONS INC YORLEY MONTEAGUDO PRESIDENT,1728 SW 11 TERR,,MIAMI,FL,33135,1,Active,Paid In Full,9/30/2013,-- None --,-- None --,786-209-5764,30-5910-048-0020,,-- None --,1/16/2013,2014,213,Service business/multiple service business or Passenger transportation services
7440981,30 - UNIN DADE COUNTY,7162887,1 A MIOS CONTRACTING INC C/O OSMANY FUENTESECA-GONZALEZ PRES,1 A MIOS CONTRACTING INC,OPERATING IN DADE COUNTY   ,SER-LAW,SERVICE BUSINESS,1 A MIOS CONTRACTING INC C/O OSMANY FUENTESECA-GONZALEZ PRES,14615 SW 47 TER,,MIAMI,FL,33175,1,Active,Paid In Full,11/14/2013,-- None --,-- None --,904-206-6238,,,Mobile Business,11/14/2013,2014,213,Service business/multiple service business or Passenger transportation services
6417018,01 - MIAMI,6153274,1 E 350 XLT SB LLC,1 E 350 XLT SB LLC,"80 SW 8 ST 2000 MIAMI, FL 33130 ",PAS-PMC,PASSENGER TRANSPORTATION SERV,1 E 350 XLT SB LLC,80 SW 8 ST  2000,,MIAMI,FL,33130,1,Active,Paid In Full,7/15/2013,-- None --,-- None --,000-000-0000,01-0205-060-1100,,-- None --,12/24/2007,2014,213,Service business/multiple service business or Passenger transportation services
5034350,30 - UNIN DADE COUNTY,4822947,1 FLORIDA REALTY INC,1 FLORIDA REALTY INC,"6175 NW 167 ST G08 MIAMI, FL 33015 ",PRO-REB,PROFESSIONAL,1 FLORIDA REALTY INC ENRIQUE H. GONZALEZ PRESIDENT,6175 NW 167 ST SUITE G8,,MIAMI,FL,33015,,Active,Paid In Full,8/28/2013,-- None --,-- None --,305-828-2755,30-2013-023-0001,,-- None --,5/23/2002,2014,212,"Professions, professional associations"
7038169,01 - MIAMI,6764782,1 KIND HOME INC,1 KIND HOME INC,"911 SW 12 AVE MIAMI, FL 33135 ",ACL,ASSISTED LIVING FACILITY,1 KIND HOME INC KARINA MIRANDA PRES,7950 NW 185 ST,,MIAMI,FL,33015,,Active,Paid In Full,7/10/2013,-- None --,-- None --,305-776-4437,01-4111-001-0552,,Home Business,2/18/2011,2014,213,Service business/multiple service business or Passenger transportation services
5046073,01 - MIAMI,4834678,1 OF A KIND JEWELRY OF FLA INC,1 OF A KIND JEWELRY DESIGNS,"1 NE 1 ST 18 MIAMI, FL 33132 ",DLR-WHO,TANGIBLE PERSONAL PROP DLR,1 OF A KIND JEWELRY OF FLA INC SAMIR RACHED MGR,1 NE 1 ST  #18,,MIAMI,FL,33132,1,Active,Unpaid,,-- None --,-- None --,305-358-7031,01-0110-050-1060,,Enforcement,6/6/2002,2014,220,Dealer in tangible personal property
7332653,30 - UNIN DADE COUNTY,7055163,1 ON 1 ADDICTIONS COUNSELING,1 ON 1 ADDICTIONS COUNSELING FOR ATHLETES INC,"8976 SW 207 ST MIAMI, FL 33189 ",CON,CONSULTANT,1 ON 1 ADDICTIONS COUNSELING SARAH GREER PRES,8976 SW 207 ST,,CUTLER BAY,FL,33189,,Active,Paid In Full,7/8/2013,-- None --,-- None --,000-0000,30-6009-030-0780,,-- None --,10/19/2012,2014,212,"Professions, professional associations"
7395197,10 - HOMESTEAD,7117609,1 ON 1 RELIABLE CREDIT REPAIR INC,1 ON 1 RELIABLE CREDIT REPAIR INC,"21 NW 8 ST HOMESTEAD, FL 33030 ",SER-BUS,SERVICE BUSINESS,1 ON 1 RELIABLE CREDIT REPAIR INC KAREN CONCEPCION PRES,4120 NE 30 ST,,HOMESTEAD,FL,33033,1,Active,Unpaid,,-- None --,-- None --,000-0000,10-7813-001-0050,,-- None --,3/13/2013,2014,213,Service business/multiple service business or Passenger transportation services
6764089,30 - UNIN DADE COUNTY,6494157,1 PARADISE MEDICAL INC,1 PARADISE MEDICAL INC,"13155 SW 134 ST 221 MIAMI, FL 33186 ",ASS,P.A./CORP/PARTNERSHIP/FIRM,1 PARADISE MEDICAL INC KIRENIA BUSTILLO PRES,13155 SW 134 ST 221,,MIAMI,FL,33186,2,Active,Unpaid,,-- None --,-- None --,786-333-3369,30-5914-083-0020,,Enforcement,9/9/2009,2014,212,"Professions, professional associations"
7405640,04 - HIALEAH,7128432,1 QUICK ALUMINUM & IRON WORK INC C/O JOSE V BERARDINELLI PRES,1 QUICK ALUMINUM & IRON WORK INC,"1059 E 41 ST HIALEAH, FL 33013 ",MFG-MNF,MFG/RECYCLING/PROCESSING,1 QUICK ALUMINUM & IRON WORK INC C/O JOSE V BERARDINELLI PRES,1059 E 41 ST,,HIALEAH,FL,33013,1,Active,Paid In Full,8/20/2013,-- None --,-- None --,786-346-0051,,,-- None --,4/3/2013,2014,206,"Manufacturing, recycling, processing, etc."
5560454,35 - DORAL,5323126,1 QUICK LOCKSMITH INC,1 QUICK LOCKSMITH INC,"9805 NW 52 ST 204 DORAL, FL 33178 ",LOC,LOCKSMITH SERVICE,1 QUICK LOCKSMITH INC MONICA OCHOA,9805 NW 52 ST  204,,DORAL,FL,33178,1,Active,Unpaid,,-- None --,-- None --,786-346-5500,35-3020-044-0090,,Home Business,5/19/2004,2014,213,Service business/multiple service business or Passenger transportation services
6988449,02 - MIAMI BEACH,6715123,1 RESPONSE LOCKSMITH LLC,1 RESPONSE LOCKSMITH LLC,"1521 ALTON RD 471 MIAMI BEACH, FL 33139 ",LOC,LOCKSMITH SERVICE,1 RESPONSE LOCKSMITH LLC SHAI SNIR,1521 ALTON RD 471,,MIAMI BCH,FL,33139,1,Active,Paid In Full,8/23/2013,-- None --,-- None --,786-326-3674,02-3234-018-0480,,-- None --,11/3/2010,2014,213,Service business/multiple service business or Passenger transportation services
6931266,30 - UNIN DADE COUNTY,6660089,1 SHOP HOME IMPROVEMENT INC,1 SHOP HOME IMPROVEMENT INC,"OPERATING IN DADE COUNTY MIAMI, FL 33999 ",SER-SNR,SERVICE BUSINESS,1 SHOP HOME IMPROVEMENT INC TONY CHESTER PRES,658 NW 100 ST,,MIAMI,FL,33150,2,Active,Unpaid,,-- None --,-- None --,954-243-8781,,,"Enforcement, Mobile Business, Social Security or Federal Employer ID #",7/16/2010,2014,213,Service business/multiple service business or Passenger transportation services
7315286,01 - MIAMI,7039084,1 SOURCE AUTO BOUTIQUE LLC,1 SOURCE AUTO BOUTIQUE LLC,"7340 SW 8 ST MIAMI, FL 33144 ",AUT,AUTO / TRUCK / VAN SALES,1 SOURCE AUTO BOUTIQUE LLC MIGUEL RODRIGUEZ MGR,18804 SW 76 CT,,CUTLER BAY,FL,33157,3,Active,Unpaid,,-- None --,-- None --,305-398-3009,01-4002-003-2490,,-- None --,9/18/2012,2014,214,Retail sales
7315278,01 - MIAMI,7039076,1 SOURCE FINANCIAL SERVICES LLC,1 SOURCE FINANCIAL SERVICES LLC,"7340 SW 8 ST MIAMI, FL 33144 ",FIN-FLM,FINANCE/INVESTMENT/HOLDING CO,1 SOURCE FINANCIAL SERVICES LLC MIGUEL RODRIGUEZ MGR,18804 SW 76 CT,,CUTLER BAY,FL,33157,,Active,Unpaid,,-- None --,-- None --,305-298-3009,01-4002-003-2490,,-- None --,9/18/2012,2014,218,Dealer in intangible personal property
4112181,30 - UNIN DADE COUNTY,6014278,1 ST CHOICE APPLIANCE SERV INC,1 ST CHOICE APPLIANCE SERVICE INC,"OPERATING IN DADE COUNTY MIAMI, FL 33999 ",SER-SNR,SERVICE BUSINESS,1 ST CHOICE APPLIANCE SERV INC GENARO GOMEZ PRES,12840 SW 267 ST,,MIAMI,FL,33032,1,Active,Paid In Full,9/11/2013,-- None --,-- None --,305-258-6183,,,Mobile Business,6/10/1998,2014,213,Service business/multiple service business or Passenger transportation services
7060452,11 - MIAMI SHORES,6786918,1 ST CHOICE PAINTING CO,1 ST CHOICE PAINTING CO,"154 NW 111 ST MIAMI SHORES, FL 33168 ",BLDGS,SPECIALTY BUILDING CONTRACTOR,1 ST CHOICE PAINTING CO JIAM GONZALEZ PRES,154 NW 111 ST,,MIAMI SHORES,FL,33168,2,Active,Unpaid,,-- None --,-- None --,305-000-0000,11-2136-003-0450,,"Enforcement, Home Business",3/28/2011,2014,196,Contracting
7295157,27 - HIALEAH GARDENS,7019201,1 STOP AUTO SHOP OF SOUTH,1 STOP AUTO SHOP OF SOUTH FLORIDA CORP,"9695 NW 79 AVE BAY 5 HIALEAH GARDENS, FL 33016 ",AUT,AUTO / TRUCK / VAN SERVICE,1 STOP AUTO SHOP OF SOUTH ELISEO VELASQUEZ PRES,9695 NW 79 AVE BAY 5,,HIALEAH GARDENS,FL,33016,2,Active,Paid In Full,9/27/2013,-- None --,-- None --,786-000-0000,27-3003-001-0624,,-- None --,7/30/2012,2014,213,Service business/multiple service business or Passenger transportation services
6459986,30 - UNIN DADE COUNTY,6195556,1 STOP BAIL SERVICES INC,1 STOP BAIL SERVICES INC,"OPERATING IN DADE COUNTY MIAMI, FL 33999 ",DLR-SAL,TANGIBLE PERSONAL PROP DLR,1 STOP BAIL SERVICES INC RAUL LEAL PRES,6834 SW 127 PL,,MIAMI,FL,33183,1,Active,Unpaid,,-- None --,-- None --,305-387-3993,,,Mobile Business,2/28/2008,2014,220,Dealer in tangible personal property
6951736,30 - UNIN DADE COUNTY,6679253,1 STOP GAS SERVICE INC,1 STOP GAS SERVICE INC,"6862 NW 173 DR 404 MIAMI, FL 33015 ",LPGX,DEALER/DISTR/INSTALLATION,1 STOP GAS SERVICE INC PAUL RODRIGUEZ PRES,6862 NW 173 DR UNIT 404,,HIALEAH,FL,33015,,Active,Unpaid,,-- None --,-- None --,305-456-9583,30-2011-018-0360,40-240539,Enforcement,9/1/2010,2014,205,"Liquefied petroleum gas; distributors; installers, and manufacturers"
6777024,07 - NORTH MIAMI BEACH,6506894,EDA REGIS,1 STOP GLOBAL ACCOUNTANT & TAX SERVICES,"487 NE 167 ST NORTH MIAMI BEACH, FL 33162 ",SER-ACC,SERVICE BUSINESS,EDA REGIS,340 NE 152 ST,,MIAMI,FL,33162,1,Active,Unpaid,,-- None --,-- None --,786-277-0378,07-2207-007-0020,,-- None --,10/1/2009,2014,213,Service business/multiple service business or Passenger transportation services
6672365,30 - UNIN DADE COUNTY,6404255,1 STOP PERMIT SERVICE INC,1 STOP PERMIT SERVICE INC,"13863 SW 67th Terrace MIAMI, FL 33183 ",SER-BUS,SERVICE BUSINESS,1 STOP PERMIT SERVICE INC,13863 SW 67th Terrace,,MIAMI,FL,33183,1,Active,Unpaid,,-- None --,-- None --,305-200-3540,,,"Enforcement, Home Business",3/23/2009,2014,213,Service business/multiple service business or Passenger transportation services
5604781,30 - UNIN DADE COUNTY,5367099,1 STOP SHOP INC,1 STOP SHOP INC,"16205 SW 117 AVE 14 MIAMI, FL 33177 ",SER-SNR,SERVICE BUSINESS,1 STOP SHOP INC CESAR MEDINA PRES,16205 SW 117 AVE 14,,MIAMI,FL,33177,5,Active,Paid In Full,9/13/2013,-- None --,-- None --,305-238-0804,30-5030-018-0070,40-136310,-- None --,7/7/2004,2014,213,Service business/multiple service business or Passenger transportation services
4341210,30 - UNIN DADE COUNTY,4157038,1 STOP STEAMERS INC,1 STOP STEAMERS INC,"OPERATING IN DADE COUNTY MIAMI, FL 33999 ",SER-CLM,SERVICE BUSINESS,1 STOP STEAMERS INC LESTER SOLORZANO,13524 SW 9 LANE,,MIAMI,FL,33184,1,Active,Paid In Full,8/27/2013,-- None --,-- None --,305-226-0735,,,Mobile Business,9/27/1999,2014,213,Service business/multiple service business or Passenger transportation services
6477418,30 - UNIN DADE COUNTY,6212781,1 STOP UPGRADES INC,1 STOP UPGRADES INC,"DOING BUS IN DADE CO MIAMI, FL 33000 ",BLDGS,SPECIALTY BUILDING CONTRACTOR,1 STOP UPGRADES INC MANUEL M BLANCO PRESIDENT,5300 SW 141 TER,,MIRAMAR,FL,33027,1,Active,Paid In Full,7/8/2013,-- None --,-- None --,305-297-6557,,,Mobile Business,3/28/2008,2014,196,Contracting
5527479,01 - MIAMI,6186951,1 STOP WIRELESS LLC,1 STOP WIRELESS LLC,"5401 NE 2 AVE MIAMI, FL 33137 ",RET-STR,RETAIL SALES,1 STOP WIRELESS LLC CHARLES LEMOINE,5401 NE 2 AVE,,MIAMI,FL,33137,1,Active,Paid In Full,7/26/2013,-- None --,-- None --,305-754-4040,01-3218-027-0190,,-- None --,4/15/2004,2014,214,Retail sales
5013511,88 - COMMERCIAL LESSORS,4802899,1 WASHINGTON AVENUE CORP,1 WASHINGTON AVENUE CORP,"MUNICIPALITIES LOC COMMERCIAL LESSORS, FL 33888 ",LES,COMMERCL/INDUST/OFFICE SPACE,1 WASHINGTON AVENUE CORP THE NY RESTAURANT GROUP,260 FRANKLIN ST STE 1860,,BOSTON,MA,2111,20851,Active,Paid In Full,7/30/2013,-- None --,-- None --,212-838-2061,02-4210-000-0042,,-- None --,5/8/2002,2014,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
6553664,30 - UNIN DADE COUNTY,6287890,1 WORKFORCE CORP,1 WORKFORCE CORP,"13727 SW 152 ST 382 MIAMI, FL 33177 ",SER-JAN,SERVICE BUSINESS,1 WORKFORCE CORP SHARON DIXON PRES,13727 SW 152 ST 382,,MIAMI,FL,33177,1,Active,Unpaid,,-- None --,-- None --,305-370-9385,30-5927-014-0010,,-- None --,8/21/2008,2014,213,Service business/multiple service business or Passenger transportation services
7256662,10 - HOMESTEAD,6980982,1 WORLD SERVICES CORP,1 WORLD SERVICES CORP,"701 S HOMESTEAD BLVD HOMESTEAD, FL 33030 ",SER-MAN,SERVICE BUSINESS,1 WORLD SERVICES CORP RAUL A DELEON III PRES,701 S HOMESTEAD BLVD,,HOMESTEAD,FL,33030,1,Active,Unpaid,,-- None --,-- None --,954-000-0000,10-7918-000-0083,,Home Business,4/27/2012,2014,213,Service business/multiple service business or Passenger transportation services
